id,category,feature,description,priority,phase,status,depends_on,source,risk,notes
BL-001,Extraction,Extracted app from AutoPlots repo,"Move Analytics Shiny App into its own repository and stop depending on the AutoPlots source tree.",P0,Foundation,Done,,New App,Low,"Keep AutoPlots as an external package dependency."
BL-002,Structure,Flat R/package-like structure,"Keep all R source files directly under R/ with no nested R/services, R/registries, R/project, or R/utils directories.",P0,Foundation,Done,BL-001,New App,Low,"Supports reviewable app/package structure."
BL-003,Structure,Page modules,"Move page-level UI/server logic into flat page module files.",P0,Foundation,Done,BL-002,New App,Medium,"Preserve stable module IDs and shared state ownership."
BL-004,UI,UI component layer,"Add app-owned UI helper functions for cards, sections, empty states, status badges, actions, controls, previews, and code panels.",P1,UI/UX,Done,BL-002,New App,Low,"Prevents UI framework sprawl."
BL-005,UI,Light/dark/pimp theme foundation,"Introduce CSS variables and theme classes for future theme switching.",P1,UI/UX,Done,BL-004,New Idea,Low,"Keep inputs readable in all themes."
BL-006,Artifacts,Custom plot artifacts,"Represent saved plots as report artifacts through adapter helpers while preserving saved_plots behavior.",P0,Report Builder,Done,BL-010,AutoPlots,Medium,"Do not call echarts4r directly."
BL-007,Artifacts,Custom text artifacts,"Allow manual text blocks to be created, previewed, organized, and included in mixed reports.",P1,Report Builder,Done,BL-010,New App,Low,"No GenAI dependency."
BL-008,Tables,Table framework with reactable themes,"Create internal table rendering, themes, and export framework using reactable where needed.",P1,Report Builder,Done,BL-005,New App,Medium,"Do not use DT."
BL-009,Artifacts,Table artifacts,"Allow users to create and manage table artifacts.",P1,Report Builder,Done,"BL-008; BL-010",New App,Medium,"Keep table objects exportable."
BL-010,Artifacts,Artifact model,"Create generic aq_artifact structure for plots, tables, text, metrics, forecasts, and narratives.",P0,Foundation,Done,BL-002,New App,Medium,"Foundation for module outputs."
BL-011,Artifacts,Artifact Library,"Create central UI for viewing, previewing, editing metadata, hiding/showing, exporting, and removing artifacts.",P0,Report Builder,Done,"BL-006; BL-007; BL-009",New App,Medium,"Must remain separate from report plans."
BL-012,Layouts,Mixed artifact layouts,"Render plots, text, and tables together in grid and section report previews.",P0,Report Builder,Done,BL-011,New App,Medium,"Leave AutoPlots plot-only display functions intact."
BL-013,Project,Project save/load,"Persist configs, artifacts, layout settings, export settings, and project metadata.",P0,Foundation,Done,BL-010,New App,High,"Do not persist htmlwidgets as primary project state."
BL-014,Project,Project bundles,"Save/load portable bundles containing project state, data, and exports.",P1,Platform,Done,BL-013,New App,Medium,"Local-first workflow."
BL-015,Export,Export HTML/R code/export all,"Support report HTML export, generated R code export, and combined export actions.",P0,Report Builder,Done,BL-006,AutoPlots,Medium,"Generated code must use AutoPlots high-level functions."
BL-016,Tables,Table CSV/XLSX export,"Export table artifact data to CSV and XLSX.",P1,Report Builder,Done,BL-009,New App,Low,"Export underlying full table data."
BL-017,Modules,Analysis module registry,"Define lightweight registry for planned analysis modules and module runner helpers.",P1,Analysis Modules,Done,BL-010,New App,Low,"No real modules required for registry skeleton."
BL-018,Modules,AutoQuant EDA adapter,"Wire AutoQuant EDA outputs into artifacts through an adapter.",P1,Analysis Modules,In Progress,BL-017,AutoQuant,High,"Do not modify AutoQuant."
BL-019,Plans,Report plan model,"Create report plan structures for curated artifact ordering and layout recommendations.",P0,Report Builder,Done,BL-010,New App,Medium,"Plans reference artifact IDs only."
BL-020,Plans,AutoQuant EDA recommended report plan,"Generate a recommended EDA report plan from AutoQuant EDA artifacts.",P1,Analysis Modules,In Progress,"BL-018; BL-019",AutoQuant,High,"Recommended plan should be editable."
BL-021,Plans,Report plan editing,"Allow users to preview, duplicate, rename, edit, archive, and apply report plans.",P1,Report Builder,In Progress,BL-019,New App,Medium,"Plan edits must not delete artifacts."
BL-022,Docs,Electron smoke test doc,"Document Electron wrapper smoke testing and repo ownership boundaries.",P1,Platform,Done,BL-001,New App,Low,"Electron wrapper is a separate repo."
BL-023,Docs,Service contract doc,"Define service_result pattern and service boundary expectations.",P0,Foundation,Done,BL-002,New App,Low,"Prevents edge-case sprawl."
BL-024,Docs,GenAI architecture doc,"Document future GenAI architecture, policies, proposals, and action gates.",P2,GenAI,Done,BL-010,New Idea,Medium,"Architecture only."
BL-025,Docs,UI architecture doc,"Document UI framework rules, helper layer, extension model, and anti-patterns.",P1,UI/UX,Done,BL-004,New App,Low,"Keep external UI dependencies minimal."
BL-026,Docs,Report artifact UX doc,"Document generator/display separation and artifact library responsibilities.",P1,Report Builder,Done,BL-010,New App,Low,"Core report-builder doctrine."
BL-027,Docs,Analysis module architecture doc,"Define analysis module contracts, registry direction, AutoQuant mapping, and anti-patterns.",P1,Analysis Modules,Done,BL-017,AutoQuant,Low,"Modules are artifact generators."
BL-028,Docs,Table framework doc,"Document internal table rendering, theming, and export framework.",P1,Report Builder,Done,BL-008,New App,Low,"Keep reactable path clear."
BL-029,Docs,Report plan architecture doc,"Document report plan model, validation, preview/apply/edit lifecycle, and Artifact Library separation.",P1,Report Builder,Done,BL-019,New App,Low,"Used to guide plan stabilization."
BL-030,QA,Stabilize AutoQuant EDA adapter/report plan workflow,"Harden EDA artifact normalization, recommended plan generation, plan preview, apply behavior, and project persistence.",P0,Analysis Modules,Planned,"BL-018; BL-020; BL-021",AutoQuant,High,"Current top priority before adding more modules."
BL-031,Modules,AutoQuant EDA full section support,"Map all meaningful AutoQuant EDA outputs into stable report sections.",P1,Analysis Modules,Planned,BL-030,AutoQuant,High,"Avoid brittle naming assumptions."
BL-032,Modules,AutoQuant Model Readiness adapter,"Adapt AutoQuant model readiness outputs into artifacts.",P1,Analysis Modules,Planned,BL-030,AutoQuant,High,"Add only after EDA plan workflow stabilizes."
BL-033,Plans,Model Readiness recommended report plan,"Create recommended plan for model readiness artifacts.",P1,Analysis Modules,Planned,BL-032,AutoQuant,Medium,"Follow EDA report plan pattern."
BL-034,Code Runner,Code Runner architecture doc,"Document local trusted code execution model, permissions, logs, outputs, and artifact conversion.",P0,Code Runner,Planned,BL-023,New App,Medium,"Documentation first."
BL-035,Code Runner,code_run_model.R,"Create code run request/result/tracker models.",P0,Code Runner,Planned,BL-034,New App,High,"Keep R/ flat."
BL-036,Code Runner,Manual local trusted code runner prototype,"Run explicitly approved local code and capture results without GenAI automation.",P1,Code Runner,Planned,"BL-035; BL-063; BL-064",New App,High,"No arbitrary background execution."
BL-037,Code Runner,Output-to-artifact conversion,"Convert code outputs into table, text, plot, or metric artifacts.",P1,Code Runner,Planned,BL-036,New App,High,"Must validate artifacts."
BL-038,Code Runner,Code history UI,"Show previous code runs, status, logs, and produced artifacts.",P1,Code Runner,Planned,"BL-035; BL-067",New App,Medium,"Keep separate from Artifact Library inventory."
BL-039,UI,Report display polish,"Improve mixed report preview spacing, section hierarchy, artifact wrappers, and empty states.",P0,UI/UX,Planned,BL-012,New App,Medium,"High user-facing value."
BL-040,UI,Artifact Library polish,"Improve library scanning, filters, preview behavior, metadata editing, and export ergonomics.",P0,UI/UX,Planned,BL-011,New App,Medium,"Do not replace core behavior."
BL-041,Project,Project save/load QA for artifacts/plans/code runs,"Add manual and helper QA for persistence of artifacts, plans, and future code run history.",P0,Release,Planned,"BL-013; BL-021; BL-035",New App,High,"Required before broad module additions."
BL-042,Platform,Electron smoke test after module additions,"Run Electron wrapper smoke tests after analysis module and report-plan changes.",P0,Platform,Planned,"BL-030; BL-041",New App,Medium,"Fix Electron-only issues in wrapper repo."
BL-043,Modules,Target Analysis adapter,"Adapt target analysis outputs into report artifacts.",P2,Analysis Modules,Planned,BL-030,AutoQuant,High,"Wait until EDA and model readiness patterns are stable."
BL-044,Modules,Model Insights adapter,"Adapt model insight outputs into artifacts.",P2,Analysis Modules,Planned,BL-032,AutoQuant,High,"Likely depends on model object conventions."
BL-045,Modules,SHAP Analysis design,"Design SHAP artifact structure and module contract.",P2,Analysis Modules,Planned,BL-027,AutoQuant,Medium,"Design before implementation."
BL-046,Modules,SHAP Analysis module,"Implement SHAP analysis adapter/module.",P2,Analysis Modules,Planned,BL-045,AutoQuant,High,"May require package availability checks."
BL-047,Modules,CatBoost Builder module,"Build narrow CatBoost training/scoring artifact-generator workflow for regression and binary classification.",P1,Analysis Modules,In Progress,"BL-032; BL-044; BL-046; BL-101",AutoQuant,High,"V1 should return training/scoring artifacts and downstream handoff metadata; not a broad modeling workbench."
BL-048,Modules,Forecasting module,"Generate forecast plots, tables, metrics, and narrative artifacts.",P2,Analysis Modules,Planned,BL-027,New Idea,High,"Keep display composition in Layouts."
BL-049,Plans,Recommended report plans for each module,"Create editable recommended plans for each analysis module.",P2,Analysis Modules,Planned,"BL-033; BL-043; BL-044; BL-046; BL-048",New App,Medium,"Plans should only reference artifacts."
BL-050,GenAI,Data profile object,"Create concise data profile object for recommendations and narratives.",P1,GenAI,Planned,BL-010,New App,Medium,"Useful before any GenAI actions."
BL-051,GenAI,GenAI settings page,"Add settings surface for provider/model keys and future policy controls.",P2,GenAI,Planned,"BL-076; BL-053",New Idea,Medium,"No full automation yet."
BL-052,GenAI,GenAI action registry,"Define allowed GenAI actions and their required permissions.",P1,GenAI,Planned,BL-024,New Idea,High,"Core safety layer."
BL-053,GenAI,GenAI policy object,"Create policy object for allowed data access, actions, and mutation rules.",P1,GenAI,Planned,BL-024,New Idea,High,"Required before GenAI can change state."
BL-054,GenAI,Proposal object,"Represent GenAI suggestions as reviewable proposals.",P1,GenAI,Planned,"BL-052; BL-053",New Idea,High,"No direct mutation."
BL-055,GenAI,Permission gate hooks,"Add hooks that approve or reject proposed GenAI actions.",P1,GenAI,Planned,BL-054,New Idea,High,"Must cover code and project mutations."
BL-056,GenAI,Plot recommendations,"Suggest plot types and mappings from data profile.",P2,GenAI,Planned,"BL-050; BL-054",New Idea,Medium,"Proposal-only initially."
BL-057,GenAI,Title/caption generation,"Generate chart titles, captions, and artifact labels.",P2,GenAI,Planned,"BL-054; BL-055",New Idea,Medium,"User approval before saving."
BL-058,GenAI,Section summaries,"Generate report section summary text artifacts.",P2,GenAI,Planned,"BL-007; BL-054",New Idea,Medium,"Returns text artifacts."
BL-059,GenAI,Report reviewer,"Review report plans and artifacts for gaps or risks.",P2,GenAI,Planned,"BL-021; BL-054",New Idea,High,"Should not mutate report automatically."
BL-060,GenAI,Starter report generator,"Propose a starter artifact selection and report plan.",P2,GenAI,Planned,"BL-049; BL-054",New Idea,High,"Keep as proposal."
BL-061,GenAI,GenAI proposed code with approval,"Allow GenAI to propose code runs through approval workflow.",P2,GenAI,Planned,"BL-036; BL-054; BL-055",New Idea,High,"Never bypass code runner policy."
BL-062,GenAI,Agent Mode,"Let GenAI perform multi-step app actions under strict policy.",P3,GenAI,Deferred,"BL-052; BL-053; BL-054; BL-055",New Idea,High,"Do not start until policy/action scaffolding is mature."
